Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 176. Result MAP=0.044136  Configuration tried: [0.9, 1, 0.1, 0.9, 0.15, 0.5].
Iteration 177. Result MAP=0.042812  Configuration tried: [0.6, 0.6, 0.1, 0.6, 0.3, 0.7].
Iteration 178. Result MAP=0.043632  Configuration tried: [0.9, 0.8, 0.1, 0.5, 0.2, 0.4].
Iteration 179. Result MAP=0.043981  Configuration tried: [0.8, 0.8, 0.3, 1, 0.2, 0.3].
Iteration 180. Result MAP=0.043433  Configuration tried: [0.8, 0.9, 0.1, 0.5, 0.3, 0.7].
Iteration 181. Result MAP=0.043157  Configuration tried: [0.5, 0.9, 0.4, 0.6, 0.05, 0.5].
Iteration 182. Result MAP=0.043235  Configuration tried: [0.5, 1, 0.2, 0.7, 0.3, 0.7].
Iteration 183. Result MAP=0.043809  Configuration tried: [0.7, 1, 0.1, 0.9, 0.2, 0.4].
Iteration 184. Result MAP=0.043484  Configuration tried: [0.8, 1, 0.5, 0.6, 0.3, 0.7].
Iteration 185. Result MAP=0.042873  Configuration tried: [0.8, 0.5, 0.1, 0.6, 0.3, 0.5].
Iteration 186. Result MAP=0.043440  Configuration tried: [0.6, 0.8, 0.1, 1, 0.3, 0.7].
Iteration 187. Result MAP=0.043831  Configuration tried: [1, 0.7, 0.2, 0.7, 0.2, 0.5].
Iteration 188. Result MAP=0.043878  Configuration tried: [1, 1, 0.2, 0.5, 0.1, 0.6].
Iteration 189. Result MAP=0.043450  Configuration tried: [0.6, 1, 0.4, 0.9, 0.3, 0.3].
Iteration 190. Result MAP=0.043054  Configuration tried: [0.6, 0.6, 0.3, 0.8, 0.3, 0.4].
Iteration 191. Result MAP=0.043308  Configuration tried: [1, 1, 0.2, 0.7, 0.4, 0.6].
Iteration 192. Result MAP=0.043863  Configuration tried: [0.7, 0.8, 0.5, 0.6, 0.2, 0.4].
Iteration 193. Result MAP=0.044129  Configuration tried: [1, 0.9, 0.1, 0.8, 0.1, 0.6].
Iteration 194. Result MAP=0.044234  Configuration tried: [0.5, 0.5, 0.4, 1, 0.05, 0.4].
Iteration 195. Result MAP=0.044005  Configuration tried: [0.9, 0.9, 0.5, 0.8, 0.2, 0.3].
Iteration 196. Result MAP=0.044161  Configuration tried: [0.8, 0.7, 0.5, 1, 0.1, 0.7].
Iteration 197. Result MAP=0.043668  Configuration tried: [0.7, 0.8, 0.5, 0.7, 0.05, 0.7].
Iteration 198. Result MAP=0.044110  Configuration tried: [0.7, 0.6, 0.4, 0.8, 0.1, 0.7].
Iteration 199. Result MAP=0.043846  Configuration tried: [0.8, 0.7, 0.4, 0.8, 0.2, 0.5].
Iteration 200. Result MAP=0.042475  Configuration tried: [0.5, 1, 0.2, 0.6, 0.4, 0.6].
Iteration 201. Result MAP=0.043837  Configuration tried: [0.6, 0.9, 0.1, 0.6, 0.1, 0.6].
Iteration 202. Result MAP=0.042317  Configuration tried: [0.5, 0.5, 0.1, 0.5, 0.3, 0.3].
Iteration 203. Result MAP=0.042966  Configuration tried: [0.7, 0.9, 0.2, 1, 0.4, 0.4].
Iteration 204. Result MAP=0.043604  Configuration tried: [0.7, 0.5, 0.4, 0.9, 0.2, 0.6].
Iteration 205. Result MAP=0.043724  Configuration tried: [0.6, 0.9, 0.1, 0.8, 0.1, 0.3].
Iteration 206. Result MAP=0.044135  Configuration tried: [0.8, 0.6, 0.4, 0.6, 0.1, 0.7].
Iteration 207. Result MAP=0.043357  Configuration tried: [0.7, 0.7, 0.4, 0.6, 0.3, 0.5].
Iteration 208. Result MAP=0.044066  Configuration tried: [0.6, 0.6, 0.2, 0.6, 0.1, 0.5].
Iteration 209. Result MAP=0.043350  Configuration tried: [0.6, 0.9, 0.1, 1, 0.05, 0.4].
Iteration 210. Result MAP=0.043228  Configuration tried: [0.7, 1, 0.4, 0.8, 0.4, 0.7].
Iteration 211. Result MAP=0.044027  Configuration tried: [1, 0.9, 0.4, 0.6, 0.1, 0.3].
Iteration 212. Result MAP=0.043393  Configuration tried: [1, 1, 0.2, 0.8, 0.4, 0.6].
Iteration 213. Result MAP=0.043398  Configuration tried: [0.6, 0.9, 0.2, 0.8, 0.05, 0.6].
Iteration 214. Result MAP=0.043743  Configuration tried: [0.9, 0.8, 0.3, 0.7, 0.05, 0.3].
Iteration 215. Result MAP=0.043939  Configuration tried: [0.8, 0.9, 0.5, 0.8, 0.2, 0.3].
Iteration 216. Result MAP=0.043911  Configuration tried: [0.5, 0.9, 0.3, 1, 0.1, 0.4].
Iteration 217. Result MAP=0.044131  Configuration tried: [0.8, 0.6, 0.1, 0.8, 0.1, 0.3].
Iteration 218. Result MAP=0.043036  Configuration tried: [0.8, 0.5, 0.5, 0.8, 0.3, 0.7].
Iteration 219. Result MAP=0.043423  Configuration tried: [0.9, 0.6, 0.2, 1, 0.3, 0.7].
Iteration 220. Result MAP=0.044085  Configuration tried: [1, 0.7, 0.3, 0.7, 0.15, 0.6].
Iteration 221. Result MAP=0.043633  Configuration tried: [0.9, 0.9, 0.1, 1, 0.05, 0.4].
Iteration 222. Result MAP=0.043753  Configuration tried: [0.9, 1, 0.4, 0.8, 0.1, 0.3].
Iteration 223. Result MAP=0.043858  Configuration tried: [0.5, 0.7, 0.4, 0.9, 0.2, 0.3].
Iteration 224. Result MAP=0.043660  Configuration tried: [0.9, 0.9, 0.1, 0.7, 0.05, 0.6].
